Certification,FournisseurPlant,NbAltisePlan,NbChenilleObserve,Grosseur,EmplacementChenille,NbPlantsCecidomyie,StadeDommages,Maladie,NbPlantsMaladie,EmplacementMaladie,QuantiteMaladie,MaladieSecondaire,PresenceMaladieSecondaire,MaladieEmplacementSecondaire,QuantiteMaladieSecondaire,StadeAlternaria,CouleurPlant,Carence,AnneeProduction,QteSemencesMillegrains,PopulationViseeParHa,QtePlantsRequis,TypePlateaux,SurplusPourcent,NbrePlateauxTotal,SuperficieTotaleHa,SuperficieCultiveeHa,RendementLbParHa,NbPlantsObserves,StadeCulture,NbPlantsVersGris,PoidsNet,Rejet_AutresDefauts,RejetDeclassement,Rejet_Dimensions,Rejet_Matiere_Etrangere,FertilizerAmount,IrrigationArea,IrrigationDuration,PesticideAmount,duree_visee,duree_obtenue
0,0,0,3,1,0,0,2,4,1,0,1,1,0,3,3,1,3,0,2019,160,43055.64168,138674,288,0.08,521,3.66,3.22,24250.82,25,11,0,58270,0.93,0,1.82,0.12,179.3798,0,0,28.7236,66,64
0,0,0,3,1,0,0,2,4,1,0,1,1,0,3,3,1,3,0,2019,269,43055.64168,234154,288,0.08,879,6.18,5.44,24250.82,25,11,0,75148,0.44,0,1.37,0.14,303.9692,0,0,48.5006,65,67
0,0,0,3,1,0,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,76,28703.76112,63906,231,0.08,310,2.53,2.23,44092.4,25,12,0,65245,0.73,1.49,2.08,0,25.3,0,0,12.0428,90,91
0,0,0,3,1,0,0,2,0,2,0,2,3,2,0,1,1,3,0,2019,73,28703.76112,60875,231,0.08,296,2.41,2.12,44092.4,25,12,0,52772,0.36,0.7,1.98,0,24.1,0,0,11.4716,90,91
1,1,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,7175.94028,0,145.5,0,65.5,1,1,29762.37,25,15,0,76866,0.3,0,0.94,0.12,0,0,0,0,36.5,119.75
1,1,0,3,1,0,0,2,1,2,0,2,3,2,0,2,3,3,0,2019,0,7175.94028,0,145.5,0,65.5,1,1,55115.5,25,12,0,245219,0.26,1.793169399,0.41,0,6.22,0,0,3.065,36.5,119.75
1,1,0,0,3,3,0,2,1,1,3,1,1,0,3,3,3,3,0,2019,0,7175.94028,0,145.5,0,65.5,1,1,29762.37,25,14,0,192876,0.23,0,1.96,0.19,0,0,0,10.977,36.5,119.75
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,154,43055.64168,136400,288,0.05,503,3.6,3.17,29762.37,25,16,0,102703,1.18,0,0.64,0.27,1634.4,0,0,21.564,67,68
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,150,43055.64168,132990,288,0.05,490,3.51,3.09,29762.37,25,16,0,62533,0.52,0,0.85,0.27,1593.54,0,0,25.4125,67,68
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,167,43055.64168,148146,288,0.05,546,3.91,3.44,29762.37,25,14,0,102019,0.33,0,0.91,0.23,993.14,0,0,23.5219,64,66
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,182,43055.64168,161028,288,0.05,593,4.25,3.74,29762.37,25,14,0,99219,0.84,0,0.81,0.28,1066.75,0,0,28.4739,62,66
1,0,0,3,4,0,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,177,43055.64168,156860,288,0.05,578,4.14,3.64,29762.37,25,8.5,0,70462,0.5,0,0.74,0.33,1039.14,0,0,21.9432,64,68
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,177,43055.64168,156860,288,0.05,578,4.14,3.64,29762.37,25,15,0,116918,0.4,0,0.49,0.21,1059.84,0,0,26.9112,64,68
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,177,43055.64168,157239,288,0.05,579,4.15,3.65,29762.37,25,15,0,122979,1.05,0,0.66,0.17,1062.4,0,0,27.042,64,51
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,41,43055.64168,35995,288,0.05,133,0.95,0.84,29762.37,25,15,0,27353,1.24,0,1.27,0.19,243.2,0,0,6.2161,57,60
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,41,43055.64168,35995,288,0.05,133,0.95,0.84,29762.37,25,15,0,14930,0.15,0,2.12,0.45,243.2,0,0,6.2161,57,54
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,40,43055.64168,35237,288,0,130,0.93,0.82,29762.37,25,15,0,26623,0.62,0,1.27,0.31,238.08,0,0,6.0864,57,57
1,0,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,0,0,2019,46,43055.64168,40920,288,0,151,1.08,0.95,29762.37,25,15,0,28590,0.82,0,0.26,0.29,276.48,0,0,7.0584,64,64
1,1,0,3,4,4,0,2,2,0,4,0,1,0,3,3,1,3,0,2019,0,7175.94028,0,145.5,0,65.5,1,1,29762.37,25,15,0,59755,0.83,0,0.6,0.28,0,0,0,0.0625,36.5,119.75
